product_category_name_english,rev_8w,units_8w
health_beauty,86925.05877357711,612.627063
watches_gifts,72843.66118908026,477.127966
bed_bath_table,57092.687668089326,578.497788
housewares,49484.71956553456,564.183754
auto,49039.71822337907,431.652404
sports_leisure,47882.927838146905,444.088094
furniture_decor,41913.220370153365,450.916735
computers_accessories,37239.09020095613,435.453395
construction_tools_construction,34990.45005361635,281.449947
office_furniture,30094.266484815,93.46698599999999
perfumery,28264.17235716545,266.639274
pet_shop,27621.249684905262,218.35555
telephony,25844.701464824884,256.9305
computers,25834.927732810625,27.8996783
baby,23609.0210044117,236.468138
home_appliances_2,22178.48903224325,42.2515415
garden_tools,20972.500580167412,211.440114
toys,20921.28616594597,218.773928
electronics,20741.393980572215,218.288559
musical_instruments,20089.68813518991,82.0978705
cool_stuff,19737.654963225126,162.248205
small_appliances,19557.95868624631,73.264553
stationery,17710.750327292433,216.834755
fixed_telephony,13228.69573602325,49.8566586
fashion_bags_accessories,13111.9565802044,208.056482
home_construction,11160.807989545077,62.312906
home_appliances,10038.883787016188,114.694032
construction_tools_lights,10038.637454052789,99.0908575
food,9936.611184720949,143.637215
home_confort,9563.25263364405,60.3042572
furniture_living_room,9470.963514631958,76.549312
unknown,9387.367372478857,60.1269779
agro_industry_and_commerce,7793.487527336557,40.9334962
luggage_accessories,7661.645795678845,92.807927
industry_commerce_and_business,7366.267838218801,26.7277247
construction_tools_safety,6917.010287683083,45.0163778
consoles_games,6700.442515872551,92.7938606
small_appliances_home_oven_and_coffee,6202.742167146107,27.933640399999998
air_conditioning,5896.272207993874,31.4535651
furniture_bedroom,4550.97233042,27.1943372
audio,4481.030530576332,62.5638367
market_place,4431.814740084541,36.4872281
fashion_shoes,4355.4769083,25.1761671
kitchen_dining_laundry_garden_furniture,3935.099596034143,28.8941132
signaling_and_security,3857.7476520647997,45.2138528
books_technical,3070.706950163623,61.958138500000004
costruction_tools_tools,2963.6445950775,25.273187999999998
books_general_interest,2915.149463017418,78.293634
books_imported,2310.63886664925,10.635729699999999
la_cuisine,2113.84496375,10.8680975
drinks,2072.1471308216287,48.0061501
food_drink,2001.9693431540834,45.6890252
arts_and_craftmanship,1880.6357097827947,23.7982263
costruction_tools_garden,1855.5592743979594,15.989724200000001
christmas_supplies,1639.449702794175,25.6217061
fashion_male_clothing,1150.855969307,10.7647177
music,971.066785024,12.8765928
party_supplies,913.5010756766667,10.096491199999999
fashion_underwear_beach,866.60632233,12.3955848
security_and_services,745.5326527509,5.26338842
cine_photo,699.5327722580105,11.93059045
furniture_mattress_and_upholstery,685.653895395,5.9635042
diapers_and_hygiene,616.111539848425,8.83662433
art,563.2966788276333,6.25178978
fashion_sport,546.2361686160001,7.05731484
cds_dvds_musicals,473.19593165000003,7.27993741
tablets_printing_image,434.576351027,6.82223471
dvds_blu_ray,428.8423246415,9.0743476
fashio_female_clothing,408.5631626179,11.08268446
flowers,391.2614445571,8.87490872
fashion_childrens_clothes,332.9619354964,6.34334036
home_comfort_2,113.1838919835,9.2357317
