product_category_name_english,base_price,applied_pct,planned_price,changed
agro_industry_and_commerce,190.3938888888889,0.0,190.3938888888889,no
air_conditioning,187.45958333333334,0.0,187.45958333333334,no
art,90.10166666666666,0.0,90.10166666666666,no
arts_and_craftmanship,79.02419642857143,0.0,79.02419642857143,no
audio,71.62333333333332,0.0,71.62333333333332,no
auto,113.60927859764467,0.0,113.60927859764467,no
baby,99.84017806412338,0.0,99.84017806412338,no
bed_bath_table,89.71934622959466,0.1,98.69128085255414,yes
books_general_interest,37.23354395604396,0.0,37.23354395604396,no
books_imported,217.2525,0.0,217.2525,no
books_technical,49.56099431818183,0.0,49.56099431818183,no
cds_dvds_musicals,65.0,0.0,65.0,no
christmas_supplies,63.98675,0.0,63.98675,no
cine_photo,58.63354166666667,0.0,58.63354166666667,no
computers,841.8125,0.1,925.9937500000001,yes
computers_accessories,85.51796961177931,0.0,85.51796961177931,no
consoles_games,72.20782142857144,0.0,72.20782142857144,no
construction_tools_construction,124.32210567663154,0.0,124.32210567663154,no
construction_tools_lights,101.3074031986532,0.0,101.3074031986532,no
construction_tools_safety,153.65541666666667,0.0,153.65541666666667,no
cool_stuff,121.65099122807015,0.0,121.65099122807015,no
costruction_tools_garden,110.5209375,0.05,116.04698437500001,yes
costruction_tools_tools,117.264375,0.0,117.264375,no
diapers_and_hygiene,69.7225,0.0,69.7225,no
drinks,43.16420138888889,0.0,43.16420138888889,no
dvds_blu_ray,47.25875,0.0,47.25875,no
electronics,95.01823675775978,0.0,95.01823675775978,no
fashio_female_clothing,36.865,0.0,36.865,no
fashion_bags_accessories,63.02113952020202,0.0,63.02113952020202,no
fashion_childrens_clothes,52.489999999999995,0.0,52.489999999999995,no
fashion_male_clothing,106.91,0.0,106.91,no
fashion_shoes,173.0,0.0,173.0,no
fashion_sport,77.4,0.0,77.4,no
fashion_underwear_beach,69.9125,0.0,69.9125,no
fixed_telephony,265.33458333333334,0.0,265.33458333333334,no
flowers,44.08625,0.0,44.08625,no
food,69.17852859177859,0.0,69.17852859177859,no
food_drink,43.81729166666667,0.0,43.81729166666667,no
furniture_bedroom,167.35,0.0,167.35,no
furniture_decor,92.95113070077865,0.0,92.95113070077865,no
furniture_living_room,123.72369218200102,0.0,123.72369218200102,no
furniture_mattress_and_upholstery,114.975,0.0,114.975,no
garden_tools,99.18884446007921,0.0,99.18884446007921,no
health_beauty,128.99002586709415,0.1,141.88902845380358,yes
home_appliances,87.52751657572024,0.0,87.52751657572024,no
home_appliances_2,524.9155000000001,0.0,524.9155000000001,no
home_comfort_2,12.9,-0.05,12.254999999999999,yes
home_confort,158.583375,0.0,158.583375,no
home_construction,179.10909161490684,0.0,179.10909161490684,no
housewares,87.71028803061662,0.0,87.71028803061662,no
industry_commerce_and_business,262.48,0.05,275.60400000000004,yes
kitchen_dining_laundry_garden_furniture,136.19035714285715,0.0,136.19035714285715,no
la_cuisine,194.5,0.0,194.5,no
luggage_accessories,82.55378654970761,0.0,82.55378654970761,no
market_place,121.46208333333333,0.0,121.46208333333333,no
music,75.41333333333333,0.0,75.41333333333333,no
musical_instruments,244.7041319444444,0.0,244.7041319444444,no
office_furniture,321.97749999999996,0.0,321.97749999999996,no
party_supplies,90.47708333333333,0.0,90.47708333333333,no
perfumery,106.00153508205791,0.0,106.00153508205791,no
pet_shop,126.49666878128477,0.0,126.49666878128477,no
security_and_services,141.64499999999998,0.0,141.64499999999998,no
signaling_and_security,85.32225,0.0,85.32225,no
small_appliances,266.9498125,0.0,266.9498125,no
small_appliances_home_oven_and_coffee,222.05276785714284,0.0,222.05276785714284,no
sports_leisure,98.02094446223855,0.1,107.82303890846241,yes
stationery,81.6785589897359,0.0,81.6785589897359,no
tablets_printing_image,63.7,0.0,63.7,no
telephony,100.59024313900015,0.0,100.59024313900015,no
toys,95.6297048611111,0.0,95.6297048611111,no
unknown,156.12571428571428,0.0,156.12571428571428,no
watches_gifts,152.6711204957545,0.0,152.6711204957545,no
